symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
SPY,rate_3m_level,fwd21_tail,1113,0.115,-0.026,0.252,-0.039,False,False
SPY,rate_3m_level,fwd21_rv,1113,0.078,-0.169,0.348,-0.339,False,False
SPY,rebound_from_20d_low,fwd21_ret,1113,0.007,-0.142,0.145,-0.117,False,False
SPY,rebound_from_20d_low,fwd21_tail,1113,-0.003,-0.101,0.099,0.092,False,False
SPY,rebound_from_20d_low,fwd21_rv,1113,0.009,-0.146,0.167,0.009,False,False
SPY,ret_120d,fwd21_ret,1113,-0.165,-0.391,0.031,-0.262,False,False
SPY,ret_120d,fwd21_tail,1113,-0.074,-0.201,0.085,0.002,False,False
SPY,ret_120d,fwd21_rv,1113,-0.283,-0.465,-0.036,-0.036,True,True
SPY,ret_1d,fwd21_ret,1113,-0.018,-0.063,0.019,-0.076,False,False
SPY,ret_1d,fwd21_tail,1113,0.031,-0.019,0.084,0.002,False,False
SPY,ret_1d,fwd21_rv,1113,-0.043,-0.088,0.015,0.008,False,False
SPY,ret_20d,fwd21_ret,1113,-0.137,-0.275,-0.005,-0.189,True,True
SPY,ret_20d,fwd21_tail,1113,-0.03,-0.121,0.067,0.109,False,False
SPY,ret_20d,fwd21_rv,1113,-0.117,-0.276,0.055,0.073,False,False
SPY,ret_5d,fwd21_ret,1113,-0.065,-0.143,0.009,-0.066,False,False
SPY,ret_5d,fwd21_tail,1113,-0.004,-0.071,0.065,0.085,False,False
SPY,ret_5d,fwd21_rv,1113,-0.043,-0.136,0.069,0.012,False,False
SPY,ret_60d,fwd21_ret,1113,-0.152,-0.358,0.016,-0.247,False,False
SPY,ret_60d,fwd21_tail,1113,-0.044,-0.165,0.087,0.037,False,False
SPY,ret_60d,fwd21_rv,1113,-0.227,-0.4,0.036,0.141,False,False
SPY,ret_accel_5_20,fwd21_ret,1113,-0.005,-0.083,0.07,0.003,False,False
SPY,ret_accel_5_20,fwd21_tail,1113,-0.003,-0.083,0.077,0.036,False,False
SPY,ret_accel_5_20,fwd21_rv,1113,-0.007,-0.077,0.077,-0.008,False,False
SPY,rsi_14,fwd21_ret,1113,-0.152,-0.278,-0.031,-0.207,True,True
SPY,rsi_14,fwd21_tail,1113,-0.047,-0.129,0.039,0.07,False,False
SPY,rsi_14,fwd21_rv,1113,-0.158,-0.315,0.014,0.055,False,False
SPY,rv_10,fwd21_ret,1113,0.204,0.052,0.369,0.253,True,True
